text_id,category,sentence_id,sentence,token,lemma,pos,tag,dependency,head_token,is_alpha,is_stop
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",TechCorp,TechCorp,PROPN,NNP,ROOT,TechCorp,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",",",",",PUNCT,",",punct,TechCorp,False,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",a,a,DET,DT,det,company,True,True
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",leading,lead,VERB,VBG,amod,company,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",tech,tech,NOUN,NN,compound,company,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",company,company,NOUN,NN,appos,TechCorp,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",based,base,VERB,VBN,acl,company,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",in,in,ADP,IN,prep,based,True,True
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",New,New,PROPN,NNP,compound,York,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",York,York,PROPN,NNP,pobj,in,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",",",",",PUNCT,",",punct,TechCorp,False,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",announced,announce,VERB,VBN,acl,TechCorp,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",on,on,ADP,IN,prep,announced,True,True
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",Monday,Monday,PROPN,NNP,pobj,on,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",that,that,SCONJ,IN,mark,plans,True,True
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",CEO,ceo,NOUN,NN,compound,Doe,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",Jane,Jane,PROPN,NNP,compound,Doe,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",Doe,Doe,PROPN,NNP,nsubj,plans,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",plans,plan,VERB,VBZ,ccomp,announced,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",to,to,PART,TO,aux,introduce,True,True
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",introduce,introduce,VERB,VB,xcomp,plans,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",a,a,DET,DT,det,smartphone,True,True
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",new,new,ADJ,JJ,amod,smartphone,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",AI,AI,PROPN,NNP,npadvmod,powered,True,False
1,Tech News,1,"TechCorp, a leading tech company based in New York, announced on Monday that CEO Jane Doe plans to introduce a new AI-powered smartphone.",-,-,PUNCT,HYPH,punct,powered,False,False
